card_code,name,class,card_type,sub_type,cost,attack,hp,effect
BP05-001,不殺の絶傑・エズディア,エルフ,フォロワー,絶傑・狩人,5,4,4,"【進化】【コスト1】：これは進化する。
【ファンファーレ】自分の墓場の狩人・カードが3枚以上なら、相手の場のフォロワー1体を選ぶ。それをアミュレットにする。それは「【起動】【コスト2】：これを墓場に置く」を持つ。"
BP05-002,不殺の絶傑・エズディア,エルフ,フォロワー・エボルヴ,絶傑・狩人,-,5,5,【起動】これを【アクト】：体力10以上の相手のリーダーすべてに6ダメージ。
BP05-003,神秘の番人・スピネ,エルフ,フォロワー,超克,5,3,5,"【守護】
【ファンファーレ】自分のデッキの上4枚を見る。その中から、【エルフ】フォロワーと【エルフ】スペルそれぞれ1枚まで公開して手札に加えてよい。残りを好きな順にデッキの下に置く。【コンボ_3】自分のPPを3回復する。"
BP05-004,不殺の使徒,エルフ,フォロワー,絶傑・狩人,3,3,3,【進化】【コスト1】：これは進化する。
BP05-005,不殺の使徒,エルフ,フォロワー・エボルヴ,絶傑・狩人,-,4,4,【進化時】自分のデッキから元のコスト2以下の狩人・フォロワー1枚を探し、場に出す。
BP05-006,マインドルーラー・モートン,エルフ,フォロワー,超克,3,3,3,自分のエンドフェイズが来たとき、相手プレイヤー1人は下記から1つチョイスする。【1】次のスタートフェイズに1枚引けない。【2】次のスタートフェイズにPP最大値を+1できない。【3】次のメインフェイズにフォロワーをプレイできない。
BP05-007,妖精の奔流,エルフ,スペル,妖精,1,-,-,自分の場の妖精・フォロワー2体まで選ぶ。それをEXエリアに置く。これによってEXエリアに置いたなら、自分のリーダーは【体力】+2する。
BP05-008,不殺の信者,エルフ,フォロワー,絶傑・狩人,2,1,3,【ファンファーレ】自分のデッキの上1枚を見る。その中から、狩人・カード1枚を公開して手札に加えてよい。
BP05-009,復讐の人形遣い・ノア,エルフ,フォロワー,人形,5,3,6,"【進化】【コスト2】：これは進化する。
自分の場に『操り人形』が出たとき、それは【攻撃力】+1して、【疾走】を持つ。
【ファンファーレ】『操り人形』2枚をEXエリアに置く。
―――――――――――――――
『操り人形』【ニュートラル】人形・フォロワー【コスト1】【攻撃力】1/【体力】1【突進】"
BP05-010,復讐の人形遣い・ノア,エルフ,フォロワー・エボルヴ,人形,-,4,7,"これがいる限り、自分が『操り人形』をプレイする際、コストを-1する。
自分の場に『操り人形』が出たとき、それは【攻撃力】+1して、【疾走】を持つ。"
BP05-011,不殺の刻印,エルフ,スペル,絶傑・狩人,2,-,-,相手の場のフォロワー1体を選ぶ。それにXダメージ。Xは「それの体力-1」である。自分の墓場の狩人・カードが3枚以上なら、1枚引く。
BP05-012,不殺の従者,エルフ,フォロワー,絶傑・狩人,1,2,2,【ファンファーレ】自分の墓場の狩人・カードが3枚以上なら、自分のリーダーは【体力】+2する。
BP05-013,機構の弓兵,エルフ,フォロワー,狩人・超克,4,4,4,【ファンファーレ】EXエリアのカード1枚を消滅：相手の場のフォロワー1体を選ぶ。それに5ダメージ。
BP05-014,フラワードール,エルフ,フォロワー,人形・植物族,2,2,2,"【進化】【コスト1】：これは進化する。
【ファンファーレ】『操り人形』1枚をEXエリアに置く。
―――――――――――――――
『操り人形』【ニュートラル】人形・フォロワー【コスト1】【攻撃力】1/【体力】1【突進】"
BP05-015,フラワードール,エルフ,フォロワー・エボルヴ,人形・植物族,-,3,3,【ラストワード】自分の墓場の人形・フォロワー1枚まで選ぶ。それを手札に加える。
BP05-016,オートマタソルジャー,エルフ,フォロワー,人形・虫族,3,3,4,"【守護】
【ファンファーレ】『操り人形』2枚をEXエリアに置く。
―――――――――――――――
『操り人形』【ニュートラル】人形・フォロワー【コスト1】【攻撃力】1/【体力】1【突進】"
BP05-017,むつらの刻印,エルフ,スペル,絶傑・狩人,1,-,-,このターン、自分のリーダーは次のダメージを受けない。
BP05-018,簒奪の絶傑・オクトリス,ロイヤル,フォロワー,絶傑・盗賊,2,2,2,"【進化】【コスト2】：これは進化する。
【進化】【コスト0】：これは進化する。この能力は相手の墓場が10枚以上なら使える。
【ファンファーレ】相手のデッキの上2枚を墓場に置く。
【起動】【コスト8】：相手の墓場のカード1枚を選ぶ。それのコストを0にしてプレイする。"
BP05-019,簒奪の絶傑・オクトリス,ロイヤル,フォロワー・エボルヴ,絶傑・盗賊,-,4,4,"これがいる限り、自分がEXエリアのカードをプレイする際、相手の墓場が10枚以上なら、コストを-2する。
【進化時】相手の墓場のカード1枚を選ぶ。それを自分のEXエリアに置く。
【起動】【コスト8】：相手の墓場のカード1枚を選ぶ。それのコストを0にしてプレイする。"
BP05-020,マグナレガシー,ロイヤル,フォロワー,超克・マグナ,8,8,8,【ファンファーレ】自分のデッキの上半分（端数切り上げ）を消滅させる。相手のリーダーすべてと相手の場のフォロワーすべてに4ダメージ。これによって消滅させたカードが15枚以上なら、代わりに8ダメージ。
BP05-021,簒奪の使徒,ロイヤル,フォロワー,絶傑・盗賊,4,3,4,"【進化】【コスト1】：これは進化する。
【ファンファーレ】相手のデッキの上2枚を墓場に置く。その後、相手の墓場が10枚以上なら、1枚引く。"
BP05-022,簒奪の使徒,ロイヤル,フォロワー・エボルヴ,絶傑・盗賊,-,4,5,【進化時】相手の場のフォロワー1体を選ぶ。それに4ダメージ。
BP05-023,天威の剣士,ロイヤル,フォロワー,指揮官,5,5,4,自分のエンドフェイズが来たとき、相手の場のフォロワー1体を選ぶ。それに4ダメージ。それのリーダーに2ダメージ。
